location,avg_price,rank_position
mumbai,22131.4711765838,1
thane,10040.133463643904,2
navi-mumbai,9716.176127436624,3
bangalore,6887.376572250643,4
ahmedabad,5555.126067544543,5
nagpur,5304.836216535209,6
